image_name,HR,SBP,DBP,MAP,SPO2,RR,HR_W,RR_W,SPO2_W
charaklucknow_icu_mon--6_2022_10_25_2_15_20.jpeg,"[0.192578125, 0.23680555555555555, 0.26171875, 0.19027777777777777]","[0.107421875, 0.5222222222222223, 0.13203125, 0.09444444444444444]","[0.2921875, 0.5152777777777777, 0.09375, 0.09444444444444444]","[0.188671875, 0.5986111111111111, 0.11171875, 0.05]","[0.21875, 0.7736111111111111, 0.1453125, 0.1361111111111111]","[0.2984375, 0.9576388888888889, 0.0734375, 0.07083333333333333]","[0.626171875, 0.2263888888888889, 0.53515625, 0.11388888888888889]","[0.62734375, 0.8791666666666667, 0.5078125, 0.12222222222222222]","[0.626953125, 0.5409722222222222, 0.51796875, 0.09861111111111111]"
charaklucknow_icu_mon--6_2022_11_1_10_15_17.jpeg,"[0.175390625, 0.23680555555555555, 0.26015625, 0.19583333333333333]","[0.09375, 0.51875, 0.1328125, 0.09861111111111111]","[0.276171875, 0.5090277777777777, 0.09765625, 0.09583333333333334]","[0.175, 0.5944444444444444, 0.1109375, 0.05555555555555555]","[0.208203125, 0.7694444444444445, 0.14609375, 0.1388888888888889]","[0.29296875, 0.95, 0.0734375, 0.07222222222222222]","[0.598828125, 0.2326388888888889, 0.56640625, 0.10416666666666667]","[0.61953125, 0.8833333333333333, 0.5578125, 0.1111111111111111]","[0.605859375, 0.5340277777777778, 0.55859375, 0.1875]"
charaklucknow_icu_mon--3_2022_11_3_1_15_30.jpeg,"[0.21875, 0.25972222222222224, 0.2203125, 0.16111111111111112]","[0.1578125, 0.5013888888888889, 0.0828125, 0.08611111111111111]","[0.30390625, 0.5020833333333333, 0.0828125, 0.0875]","[0.21171875, 0.575, 0.0953125, 0.05]","[0.23359375, 0.7263888888888889, 0.1234375, 0.11388888888888889]","[0.298828125, 0.8875, 0.06640625, 0.06388888888888888]","[0.603125, 0.2701388888888889, 0.4890625, 0.09583333333333334]","[0.5875, 0.8430555555555556, 0.4984375, 0.11666666666666667]","[0.590625, 0.5409722222222222, 0.4890625, 0.12916666666666668]"
charaklucknow_icu_mon--1_2022_10_31_17_15_1.jpeg,"[0.184765625, 0.23055555555555557, 0.25859375, 0.18611111111111112]","[0.119140625, 0.49930555555555556, 0.08828125, 0.08472222222222223]","[0.28203125, 0.49444444444444446, 0.09375, 0.08611111111111111]","[0.18046875, 0.5770833333333333, 0.1078125, 0.05416666666666667]","[0.18203125, 0.7444444444444445, 0.203125, 0.13333333333333333]","[0.290234375, 0.9152777777777777, 0.06953125, 0.07222222222222222]","[0.60625, 0.24027777777777778, 0.540625, 0.08055555555555556]","[0.6234375, 0.8659722222222223, 0.51875, 0.0763888888888889]","[0.6140625, 0.5430555555555555, 0.53125, 0.1388888888888889]"
charaklucknow_icu_mon--3_2022_10_26_15_15_12.jpeg,"[0.24375, 0.24722222222222223, 0.1734375, 0.17222222222222222]","[0.12578125, 0.5041666666666667, 0.1234375, 0.09444444444444444]","[0.297265625, 0.5055555555555555, 0.09140625, 0.08888888888888889]","[0.199609375, 0.5798611111111112, 0.10234375, 0.05694444444444444]","[0.228125, 0.7430555555555556, 0.1390625, 0.12777777777777777]","[0.301171875, 0.9125, 0.07109375, 0.06944444444444445]","[0.605859375, 0.2826388888888889, 0.50859375, 0.10694444444444444]","[0.609765625, 0.8423611111111111, 0.51328125, 0.13472222222222222]","[0.611328125, 0.5409722222222222, 0.50546875, 0.17916666666666667]"
charaklucknow_icu_mon--2_2022_10_23_15_15_21.jpeg,"[0.247265625, 0.20694444444444443, 0.17109375, 0.18611111111111112]","[0.1234375, 0.48333333333333334, 0.125, 0.1]","[0.295703125, 0.49375, 0.08828125, 0.10138888888888889]","[0.19609375, 0.56875, 0.1015625, 0.05694444444444444]","[0.221875, 0.7486111111111111, 0.1359375, 0.14166666666666666]","[0.28984375, 0.9402777777777778, 0.071875, 0.075]","[0.616015625, 0.22152777777777777, 0.52109375, 0.1736111111111111]","[0.608203125, 0.9090277777777778, 0.51015625, 0.12638888888888888]","[0.616796875, 0.5666666666666667, 0.50859375, 0.17777777777777778]"
charaklucknow_icu_mon--3_2022_10_26_11_15_24.jpeg,"[0.24921875, 0.23958333333333334, 0.171875, 0.1736111111111111]","[0.1484375, 0.4930555555555556, 0.0890625, 0.09166666666666666]","[0.30234375, 0.49166666666666664, 0.0875, 0.09166666666666666]","[0.203125, 0.5666666666666667, 0.1, 0.05555555555555555]","[0.230078125, 0.7284722222222222, 0.13515625, 0.12916666666666668]","[0.283203125, 0.8972222222222223, 0.03203125, 0.06944444444444445]","[0.612890625, 0.27361111111111114, 0.49765625, 0.09166666666666666]","[0.61328125, 0.84375, 0.4890625, 0.12916666666666668]","[0.612109375, 0.5354166666666667, 0.49140625, 0.20694444444444443]"
charaklucknow_icu_mon--3_2022_10_21_22_15_41.jpeg,"[0.1796875, 0.2326388888888889, 0.121875, 0.1597222222222222]","[0.1234375, 0.5041666666666667, 0.121875, 0.09166666666666666]","[0.2921875, 0.5048611111111111, 0.084375, 0.0875]","[0.198828125, 0.58125, 0.09921875, 0.05694444444444444]","[0.227734375, 0.7444444444444445, 0.13515625, 0.12777777777777777]",,,,"[0.5984375, 0.5590277777777778, 0.5015625, 0.1736111111111111]"
charaklucknow_icu_mon--2_2022_10_24_11_15_17.jpeg,"[0.2109375, 0.20972222222222223, 0.24375, 0.18611111111111112]","[0.140625, 0.48125, 0.0875, 0.10138888888888889]","[0.294140625, 0.48541666666666666, 0.09140625, 0.09583333333333334]","[0.19609375, 0.5652777777777778, 0.1046875, 0.06388888888888888]","[0.21953125, 0.7416666666666667, 0.1390625, 0.1361111111111111]","[0.28828125, 0.9298611111111111, 0.06875, 0.07361111111111111]","[0.611328125, 0.225, 0.52109375, 0.19166666666666668]","[0.60546875, 0.8826388888888889, 0.525, 0.12638888888888888]","[0.61171875, 0.5388888888888889, 0.5125, 0.20555555555555555]"
charaklucknow_icu_mon--3_2022_10_26_23_15_35.jpeg,"[0.234765625, 0.2520833333333333, 0.17265625, 0.18194444444444444]","[0.119921875, 0.5083333333333333, 0.12109375, 0.08888888888888889]","[0.290625, 0.50625, 0.0890625, 0.0875]","[0.195703125, 0.5805555555555556, 0.10078125, 0.05555555555555555]","[0.22421875, 0.7444444444444445, 0.1390625, 0.13055555555555556]","[0.2984375, 0.9125, 0.0703125, 0.06666666666666667]","[0.590234375, 0.2875, 0.51796875, 0.1111111111111111]","[0.600390625, 0.8333333333333334, 0.52578125, 0.14166666666666666]","[0.591796875, 0.5444444444444444, 0.50859375, 0.21388888888888888]"
charaklucknow_icu_mon--6_2022_11_1_20_15_14.jpeg,"[0.181640625, 0.24027777777777778, 0.26171875, 0.18888888888888888]","[0.118359375, 0.5145833333333333, 0.09296875, 0.09583333333333334]","[0.2828125, 0.5076388888888889, 0.090625, 0.09305555555555556]","[0.18203125, 0.5923611111111111, 0.10625, 0.05694444444444444]","[0.21328125, 0.7638888888888888, 0.15, 0.14166666666666666]","[0.29296875, 0.9388888888888889, 0.0671875, 0.07222222222222222]","[0.6078125, 0.24097222222222223, 0.5390625, 0.10694444444444444]","[0.618359375, 0.8854166666666666, 0.53515625, 0.10694444444444444]","[0.616796875, 0.5284722222222222, 0.54296875, 0.24583333333333332]"
charaklucknow_icu_mon--3_2022_10_23_15_15_34.jpeg,"[0.253515625, 0.2423611111111111, 0.17890625, 0.17916666666666667]","[0.1421875, 0.49444444444444446, 0.09375, 0.08888888888888889]","[0.297265625, 0.5013888888888889, 0.09140625, 0.09444444444444444]","[0.198046875, 0.5770833333333333, 0.10546875, 0.059722222222222225]","[0.220703125, 0.7402777777777778, 0.13515625, 0.12777777777777777]","[0.288671875, 0.9118055555555555, 0.06953125, 0.07083333333333333]","[0.6109375, 0.26666666666666666, 0.5015625, 0.09444444444444444]","[0.60078125, 0.8125, 0.50625, 0.21944444444444444]","[0.609375, 0.5590277777777778, 0.5015625, 0.19305555555555556]"
charaklucknow_icu_mon--3_2022_10_21_8_15_27.jpeg,"[0.2328125, 0.2520833333333333, 0.159375, 0.1736111111111111]","[0.133203125, 0.5138888888888888, 0.12265625, 0.08611111111111111]","[0.305078125, 0.5111111111111111, 0.09140625, 0.08888888888888889]","[0.210546875, 0.5881944444444445, 0.10390625, 0.05694444444444444]","[0.24375, 0.7520833333333333, 0.1390625, 0.12638888888888888]","[0.325, 0.9201388888888888, 0.06875, 0.0625]","[0.603515625, 0.24791666666666667, 0.50390625, 0.1125]","[0.62578125, 0.8319444444444445, 0.49375, 0.16111111111111112]","[0.619140625, 0.5444444444444444, 0.49609375, 0.09722222222222222]"
charaklucknow_icu_mon--3_2022_10_26_19_15_12.jpeg,"[0.240625, 0.2423611111111111, 0.1734375, 0.17916666666666667]","[0.12421875, 0.5020833333333333, 0.1234375, 0.09583333333333334]","[0.29453125, 0.5048611111111111, 0.0890625, 0.08472222222222223]","[0.198046875, 0.5777777777777777, 0.10546875, 0.05277777777777778]","[0.200390625, 0.7409722222222223, 0.19296875, 0.12916666666666668]","[0.301953125, 0.9069444444444444, 0.06953125, 0.06388888888888888]","[0.591796875, 0.2972222222222222, 0.52265625, 0.1111111111111111]","[0.603125, 0.8375, 0.5109375, 0.125]","[0.595703125, 0.5451388888888888, 0.50390625, 0.10694444444444444]"
charaklucknow_icu_mon--1_2022_10_31_14_15_1.jpeg,"[0.1921875, 0.22916666666666666, 0.2484375, 0.18055555555555555]","[0.116015625, 0.49375, 0.12734375, 0.09305555555555556]","[0.2921875, 0.49166666666666664, 0.0890625, 0.09444444444444444]","[0.195703125, 0.5729166666666666, 0.10546875, 0.05416666666666667]","[0.1984375, 0.7381944444444445, 0.19375, 0.12916666666666668]","[0.309375, 0.9131944444444444, 0.0609375, 0.0625]","[0.596875, 0.24513888888888888, 0.53125, 0.0763888888888889]","[0.616015625, 0.7548611111111111, 0.52890625, 0.29583333333333334]","[0.60390625, 0.5319444444444444, 0.525, 0.14722222222222223]"
charaklucknow_icu_mon--2_2022_10_21_19_15_28.jpeg,"[0.149609375, 0.18888888888888888, 0.12421875, 0.16111111111111112]","[0.077734375, 0.4666666666666667, 0.12578125, 0.09166666666666666]","[0.253125, 0.4756944444444444, 0.0828125, 0.09861111111111111]","[0.153125, 0.5506944444444445, 0.10625, 0.059722222222222225]","[0.178515625, 0.7243055555555555, 0.13984375, 0.1375]","[0.250390625, 0.9083333333333333, 0.07265625, 0.07777777777777778]",,"[0.575390625, 0.7763888888888889, 0.54765625, 0.39166666666666666]","[0.584765625, 0.5138888888888888, 0.54765625, 0.18055555555555555]"
charaklucknow_icu_mon--1_2022_11_1_12_15_1.jpeg,"[0.19609375, 0.225, 0.2484375, 0.175]","[0.133984375, 0.49236111111111114, 0.08359375, 0.08472222222222223]","[0.291796875, 0.4930555555555556, 0.08515625, 0.08611111111111111]","[0.19296875, 0.5722222222222222, 0.1015625, 0.05]","[0.224609375, 0.7402777777777778, 0.13515625, 0.13333333333333333]","[0.30078125, 0.9159722222222222, 0.0703125, 0.06805555555555555]","[0.60390625, 0.24305555555555555, 0.525, 0.08611111111111111]","[0.6140625, 0.8263888888888888, 0.50625, 0.18055555555555555]","[0.608984375, 0.5375, 0.51640625, 0.09166666666666666]"
charaklucknow_icu_mon--1_2022_10_31_19_15_1.jpeg,"[0.187890625, 0.21875, 0.26015625, 0.17916666666666667]","[0.10390625, 0.4861111111111111, 0.1265625, 0.09722222222222222]","[0.2828125, 0.4840277777777778, 0.090625, 0.0875]","[0.184765625, 0.5631944444444444, 0.10546875, 0.059722222222222225]","[0.21640625, 0.73125, 0.1421875, 0.13194444444444445]","[0.294140625, 0.9083333333333333, 0.07109375, 0.06944444444444445]","[0.5984375, 0.2361111111111111, 0.5515625, 0.08055555555555556]","[0.609765625, 0.8534722222222222, 0.54296875, 0.12083333333333333]","[0.605078125, 0.5236111111111111, 0.53359375, 0.1527777777777778]"
charaklucknow_icu_mon--2_2022_10_24_22_15_19.jpeg,"[0.21484375, 0.22083333333333333, 0.1734375, 0.17777777777777778]","[0.094140625, 0.4875, 0.12734375, 0.09722222222222222]","[0.266015625, 0.4909722222222222, 0.08984375, 0.09583333333333334]","[0.16875, 0.56875, 0.1, 0.05694444444444444]","[0.1671875, 0.7402777777777778, 0.1953125, 0.1361111111111111]","[0.273046875, 0.9222222222222223, 0.06171875, 0.07222222222222222]","[0.588671875, 0.2263888888888889, 0.53515625, 0.20277777777777778]","[0.583984375, 0.8826388888888889, 0.52578125, 0.14305555555555555]","[0.584375, 0.5458333333333333, 0.528125, 0.12222222222222222]"
charaklucknow_icu_mon--1_2022_10_21_22_15_1.jpeg,"[0.22421875, 0.22777777777777777, 0.18125, 0.17222222222222222]","[0.112890625, 0.5013888888888889, 0.12890625, 0.08888888888888889]","[0.293359375, 0.49375, 0.08828125, 0.08472222222222223]","[0.193359375, 0.5770833333333333, 0.10546875, 0.05694444444444444]","[0.226171875, 0.7409722222222223, 0.14296875, 0.13194444444444445]","[0.3109375, 0.9159722222222222, 0.071875, 0.06527777777777778]","[0.61015625, 0.20902777777777778, 0.5375, 0.14027777777777778]","[0.62578125, 0.8527777777777777, 0.5390625, 0.11388888888888889]","[0.61875, 0.5243055555555556, 0.5359375, 0.09583333333333334]"
charaklucknow_icu_mon--3_2022_10_23_23_15_17.jpeg,"[0.248828125, 0.24097222222222223, 0.17578125, 0.1763888888888889]","[0.123828125, 0.49930555555555556, 0.12421875, 0.09305555555555556]","[0.29765625, 0.5020833333333333, 0.0921875, 0.09583333333333334]","[0.19921875, 0.5777777777777777, 0.1046875, 0.05555555555555555]","[0.223046875, 0.7409722222222223, 0.13984375, 0.12916666666666668]","[0.2921875, 0.9166666666666666, 0.06875, 0.06666666666666667]","[0.61796875, 0.2625, 0.5109375, 0.10277777777777777]","[0.6078125, 0.7923611111111111, 0.5, 0.26805555555555555]","[0.617578125, 0.5381944444444444, 0.49765625, 0.27361111111111114]"
charaklucknow_icu_mon--2_2022_10_23_11_15_31.jpeg,"[0.2078125, 0.20694444444444443, 0.24375, 0.18888888888888888]","[0.13984375, 0.4777777777777778, 0.0828125, 0.09444444444444444]","[0.291796875, 0.48333333333333334, 0.08671875, 0.09444444444444444]","[0.194921875, 0.5625, 0.10390625, 0.058333333333333334]","[0.2203125, 0.7340277777777777, 0.1390625, 0.1375]","[0.290234375, 0.9243055555555556, 0.06953125, 0.0763888888888889]","[0.608203125, 0.21666666666666667, 0.53515625, 0.1527777777777778]","[0.603515625, 0.89375, 0.51640625, 0.10694444444444444]","[0.606640625, 0.525, 0.51796875, 0.20277777777777778]"
charaklucknow_icu_mon--2_2022_10_25_9_15_30.jpeg,"[0.24375, 0.20555555555555555, 0.1578125, 0.19166666666666668]","[0.125, 0.47708333333333336, 0.11875, 0.10138888888888889]","[0.2984375, 0.4888888888888889, 0.0859375, 0.10555555555555556]","[0.2, 0.5659722222222222, 0.103125, 0.0625]","[0.223828125, 0.7423611111111111, 0.13515625, 0.14305555555555555]","[0.294921875, 0.9340277777777778, 0.06171875, 0.07361111111111111]","[0.621484375, 0.22847222222222222, 0.53046875, 0.19583333333333333]","[0.60625, 0.91875, 0.5125, 0.1125]","[0.6140625, 0.55, 0.5203125, 0.18055555555555555]"
charaklucknow_icu_mon--6_2022_10_25_3_15_16.jpeg,"[0.2203125, 0.2388888888888889, 0.1828125, 0.19166666666666668]","[0.096875, 0.5263888888888889, 0.1296875, 0.09166666666666666]","[0.28046875, 0.51875, 0.0890625, 0.09305555555555556]","[0.1796875, 0.60625, 0.1078125, 0.05694444444444444]","[0.211328125, 0.7784722222222222, 0.14765625, 0.14583333333333334]","[0.291015625, 0.9631944444444445, 0.07578125, 0.07083333333333333]","[0.602734375, 0.22777777777777777, 0.53515625, 0.12222222222222222]","[0.609765625, 0.8631944444444445, 0.53828125, 0.17916666666666667]","[0.608984375, 0.5479166666666667, 0.54140625, 0.09861111111111111]"
charaklucknow_icu_mon--5_2022_11_2_14_16_5.jpeg,"[0.183203125, 0.22708333333333333, 0.26328125, 0.18472222222222223]","[0.093359375, 0.5118055555555555, 0.13359375, 0.09583333333333334]","[0.2796875, 0.5090277777777777, 0.09375, 0.09583333333333334]","[0.1734375, 0.5958333333333333, 0.1125, 0.05555555555555555]","[0.203125, 0.7729166666666667, 0.15, 0.14305555555555555]","[0.281640625, 0.9604166666666667, 0.07578125, 0.07083333333333333]","[0.608203125, 0.22777777777777777, 0.54140625, 0.13333333333333333]","[0.605859375, 0.8743055555555556, 0.53359375, 0.1736111111111111]","[0.607421875, 0.5326388888888889, 0.53828125, 0.18472222222222223]"
charaklucknow_icu_mon--3_2022_10_24_3_15_17.jpeg,"[0.255078125, 0.23472222222222222, 0.17578125, 0.17777777777777778]","[0.12734375, 0.4888888888888889, 0.121875, 0.08888888888888889]","[0.299609375, 0.49027777777777776, 0.09296875, 0.09166666666666666]","[0.199609375, 0.5659722222222222, 0.10390625, 0.06527777777777778]","[0.2203125, 0.73125, 0.1375, 0.1375]","[0.2859375, 0.9076388888888889, 0.0703125, 0.06805555555555555]","[0.613671875, 0.24722222222222223, 0.52578125, 0.14444444444444443]","[0.60390625, 0.8111111111111111, 0.5125, 0.2]","[0.601953125, 0.5506944444444445, 0.51640625, 0.09583333333333334]"
charaklucknow_icu_mon--3_2022_10_24_5_15_16.jpeg,"[0.255078125, 0.23819444444444443, 0.17109375, 0.17916666666666667]","[0.126953125, 0.4951388888888889, 0.12421875, 0.09583333333333334]","[0.3015625, 0.5020833333333333, 0.0921875, 0.09027777777777778]","[0.19921875, 0.5715277777777777, 0.1078125, 0.0625]","[0.223046875, 0.7381944444444445, 0.13671875, 0.12638888888888888]","[0.291015625, 0.9104166666666667, 0.07109375, 0.07083333333333333]","[0.61796875, 0.25833333333333336, 0.5234375, 0.10277777777777777]","[0.609765625, 0.7923611111111111, 0.52265625, 0.2375]","[0.612890625, 0.5520833333333334, 0.51796875, 0.13194444444444445]"
charaklucknow_icu_mon--6_2022_11_3_7_15_15.jpeg,"[0.2140625, 0.23680555555555555, 0.1859375, 0.1986111111111111]","[0.096484375, 0.51875, 0.13671875, 0.09583333333333334]","[0.280078125, 0.5104166666666666, 0.09765625, 0.09861111111111111]","[0.17890625, 0.59375, 0.109375, 0.05694444444444444]","[0.21171875, 0.7736111111111111, 0.14375, 0.1388888888888889]","[0.29609375, 0.95625, 0.071875, 0.06805555555555555]","[0.6078125, 0.22916666666666666, 0.5328125, 0.10833333333333334]","[0.6296875, 0.8472222222222222, 0.5390625, 0.18055555555555555]","[0.6171875, 0.5263888888888889, 0.5390625, 0.18055555555555555]"
charaklucknow_icu_mon--1_2022_10_25_3_15_1.jpeg,"[0.2234375, 0.2298611111111111, 0.184375, 0.1763888888888889]","[0.1234375, 0.5, 0.0921875, 0.08888888888888889]","[0.28828125, 0.49722222222222223, 0.090625, 0.08888888888888889]","[0.187109375, 0.5784722222222223, 0.10703125, 0.05416666666666667]","[0.22109375, 0.7444444444444445, 0.146875, 0.13055555555555556]","[0.300390625, 0.9194444444444444, 0.06640625, 0.06666666666666667]","[0.612890625, 0.25, 0.56015625, 0.19722222222222222]","[0.626953125, 0.8576388888888888, 0.55078125, 0.09583333333333334]","[0.618359375, 0.5305555555555556, 0.55546875, 0.20277777777777778]"
charaklucknow_icu_mon--1_2022_11_1_19_15_1.jpeg,"[0.187109375, 0.22777777777777777, 0.25546875, 0.17777777777777778]","[0.108203125, 0.49444444444444446, 0.12734375, 0.08611111111111111]","[0.285546875, 0.49166666666666664, 0.08984375, 0.09166666666666666]","[0.187109375, 0.5729166666666666, 0.10390625, 0.05416666666666667]","[0.219140625, 0.7402777777777778, 0.14296875, 0.13333333333333333]","[0.296484375, 0.9152777777777777, 0.06953125, 0.06388888888888888]","[0.605859375, 0.25277777777777777, 0.53515625, 0.10277777777777777]","[0.61953125, 0.8416666666666667, 0.5265625, 0.14444444444444443]","[0.6109375, 0.5361111111111111, 0.5265625, 0.15555555555555556]"
charaklucknow_icu_mon--1_2022_11_1_2_15_1.jpeg,"[0.1890625, 0.22708333333333333, 0.2609375, 0.18472222222222223]","[0.121875, 0.49583333333333335, 0.084375, 0.09444444444444444]","[0.28828125, 0.49166666666666664, 0.09375, 0.09444444444444444]","[0.187109375, 0.5729166666666666, 0.10703125, 0.05416666666666667]","[0.187890625, 0.7416666666666667, 0.20078125, 0.13333333333333333]","[0.2984375, 0.9166666666666666, 0.0734375, 0.06666666666666667]","[0.612890625, 0.24513888888888888, 0.53359375, 0.09583333333333334]","[0.617578125, 0.8583333333333333, 0.53828125, 0.125]","[0.613671875, 0.5069444444444444, 0.54140625, 0.3527777777777778]"
